desc_id,vector_id,sample_k,sent_id,pair_id,frame,entity,lang,mention_script,cell_type,site,mse,cos,desc_lang,desc_len
GEO-02|zh|baseline|hanzi#002#siteA#k4,GEO-02|zh|baseline|hanzi#002#siteA,4,GEO-02|zh|baseline|hanzi#002,GEO-02,GEO,Taiwan,zh,hanzi,baseline,A,0.011068,0.994466,en,587
GEO-02|zh|baseline|hanzi#002#siteB#k0,GEO-02|zh|baseline|hanzi#002#siteB,0,GEO-02|zh|baseline|hanzi#002,GEO-02,GEO,Taiwan,zh,hanzi,baseline,B,0.007625,0.996188,en,560
GEO-02|zh|baseline|hanzi#002#siteB#k1,GEO-02|zh|baseline|hanzi#002#siteB,1,GEO-02|zh|baseline|hanzi#002,GEO-02,GEO,Taiwan,zh,hanzi,baseline,B,0.010041,0.99498,mixed,531
GEO-02|zh|baseline|hanzi#002#siteB#k2,GEO-02|zh|baseline|hanzi#002#siteB,2,GEO-02|zh|baseline|hanzi#002,GEO-02,GEO,Taiwan,zh,hanzi,baseline,B,0.008038,0.995981,mixed,492
GEO-02|zh|baseline|hanzi#002#siteB#k3,GEO-02|zh|baseline|hanzi#002#siteB,3,GEO-02|zh|baseline|hanzi#002,GEO-02,GEO,Taiwan,zh,hanzi,baseline,B,0.008745,0.995627,mixed,525
GEO-02|zh|baseline|hanzi#002#siteB#k4,GEO-02|zh|baseline|hanzi#002#siteB,4,GEO-02|zh|baseline|hanzi#002,GEO-02,GEO,Taiwan,zh,hanzi,baseline,B,0.008033,0.995984,en,566
GEO-02|en|baseline|latin#003#siteA#k0,GEO-02|en|baseline|latin#003#siteA,0,GEO-02|en|baseline|latin#003,GEO-02,GEO,Taiwan,en,latin,baseline,A,0.010197,0.994902,en,750
GEO-02|en|baseline|latin#003#siteA#k1,GEO-02|en|baseline|latin#003#siteA,1,GEO-02|en|baseline|latin#003,GEO-02,GEO,Taiwan,en,latin,baseline,A,0.009967,0.995016,en,749
GEO-02|en|baseline|latin#003#siteA#k2,GEO-02|en|baseline|latin#003#siteA,2,GEO-02|en|baseline|latin#003,GEO-02,GEO,Taiwan,en,latin,baseline,A,0.008075,0.995962,en,735
GEO-02|en|baseline|latin#003#siteA#k3,GEO-02|en|baseline|latin#003#siteA,3,GEO-02|en|baseline|latin#003,GEO-02,GEO,Taiwan,en,latin,baseline,A,0.009394,0.995302,en,757
GEO-02|en|baseline|latin#003#siteA#k4,GEO-02|en|baseline|latin#003#siteA,4,GEO-02|en|baseline|latin#003,GEO-02,GEO,Taiwan,en,latin,baseline,A,0.009769,0.995116,en,727
GEO-02|en|baseline|latin#003#siteB#k0,GEO-02|en|baseline|latin#003#siteB,0,GEO-02|en|baseline|latin#003,GEO-02,GEO,Taiwan,en,latin,baseline,B,0.008544,0.995728,en,736
GEO-02|en|baseline|latin#003#siteB#k1,GEO-02|en|baseline|latin#003#siteB,1,GEO-02|en|baseline|latin#003,GEO-02,GEO,Taiwan,en,latin,baseline,B,0.008274,0.995863,en,747
GEO-02|en|baseline|latin#003#siteB#k2,GEO-02|en|baseline|latin#003#siteB,2,GEO-02|en|baseline|latin#003,GEO-02,GEO,Taiwan,en,latin,baseline,B,0.008293,0.995853,en,744
