desc_id,vector_id,sample_k,sent_id,pair_id,frame,entity,lang,mention_script,cell_type,site,mse,cos,desc_lang,desc_len
GEO-C04-JP|en|baseline|latin#002#siteA#k1,GEO-C04-JP|en|baseline|latin#002#siteA,1,GEO-C04-JP|en|baseline|latin#002,GEO-C04-JP,GEO,Japan,en,latin,baseline,A,0.009589,0.995205,en,660
GEO-C04-JP|en|baseline|latin#002#siteA#k2,GEO-C04-JP|en|baseline|latin#002#siteA,2,GEO-C04-JP|en|baseline|latin#002,GEO-C04-JP,GEO,Japan,en,latin,baseline,A,0.008753,0.995624,en,664
GEO-C04-JP|en|baseline|latin#002#siteA#k3,GEO-C04-JP|en|baseline|latin#002#siteA,3,GEO-C04-JP|en|baseline|latin#002,GEO-C04-JP,GEO,Japan,en,latin,baseline,A,0.009054,0.995473,en,677
GEO-C04-JP|en|baseline|latin#002#siteA#k4,GEO-C04-JP|en|baseline|latin#002#siteA,4,GEO-C04-JP|en|baseline|latin#002,GEO-C04-JP,GEO,Japan,en,latin,baseline,A,0.008773,0.995614,en,671
GEO-C04-JP|en|baseline|latin#002#siteB#k0,GEO-C04-JP|en|baseline|latin#002#siteB,0,GEO-C04-JP|en|baseline|latin#002,GEO-C04-JP,GEO,Japan,en,latin,baseline,B,0.004688,0.997656,en,763
GEO-C04-JP|en|baseline|latin#002#siteB#k1,GEO-C04-JP|en|baseline|latin#002#siteB,1,GEO-C04-JP|en|baseline|latin#002,GEO-C04-JP,GEO,Japan,en,latin,baseline,B,0.004532,0.997734,en,756
GEO-C04-JP|en|baseline|latin#002#siteB#k2,GEO-C04-JP|en|baseline|latin#002#siteB,2,GEO-C04-JP|en|baseline|latin#002,GEO-C04-JP,GEO,Japan,en,latin,baseline,B,0.005019,0.997491,en,762
GEO-C04-JP|en|baseline|latin#002#siteB#k3,GEO-C04-JP|en|baseline|latin#002#siteB,3,GEO-C04-JP|en|baseline|latin#002,GEO-C04-JP,GEO,Japan,en,latin,baseline,B,0.004886,0.997557,en,747
GEO-C04-JP|en|baseline|latin#002#siteB#k4,GEO-C04-JP|en|baseline|latin#002#siteB,4,GEO-C04-JP|en|baseline|latin#002,GEO-C04-JP,GEO,Japan,en,latin,baseline,B,0.00482,0.99759,en,808
TRAV-07|en|baseline|latin#003#siteA#k0,TRAV-07|en|baseline|latin#003#siteA,0,TRAV-07|en|baseline|latin#003,TRAV-07,TRAV,Taiwan,en,latin,baseline,A,0.009114,0.995443,en,721
TRAV-07|en|baseline|latin#003#siteA#k1,TRAV-07|en|baseline|latin#003#siteA,1,TRAV-07|en|baseline|latin#003,TRAV-07,TRAV,Taiwan,en,latin,baseline,A,0.009254,0.995373,en,666
TRAV-07|en|baseline|latin#003#siteA#k2,TRAV-07|en|baseline|latin#003#siteA,2,TRAV-07|en|baseline|latin#003,TRAV-07,TRAV,Taiwan,en,latin,baseline,A,0.008631,0.995684,en,680
TRAV-07|en|baseline|latin#003#siteA#k3,TRAV-07|en|baseline|latin#003#siteA,3,TRAV-07|en|baseline|latin#003,TRAV-07,TRAV,Taiwan,en,latin,baseline,A,0.008371,0.995815,en,673
TRAV-07|en|baseline|latin#003#siteA#k4,TRAV-07|en|baseline|latin#003#siteA,4,TRAV-07|en|baseline|latin#003,TRAV-07,TRAV,Taiwan,en,latin,baseline,A,0.009996,0.995002,en,711
