sent_id,lang,mention,n_tokens,site_a_idx,site_b_idx,mention_n_subtokens,warnings
GEO-C02-JP|en|baseline|latin#197,en,Japan,47,26,47,1,
GEO-C02-IS|zh|baseline|hanzi#198,zh,冰島,52,29,52,2,
GEO-C02-IS|en|baseline|latin#199,en,Iceland,49,26,49,1,
GEO-C03-JP|zh|baseline|hanzi#200,zh,日本,44,29,44,1,
GEO-C03-JP|en|baseline|latin#201,en,Japan,45,28,45,1,
GEO-C03-IS|zh|baseline|hanzi#202,zh,冰島,45,30,45,2,
GEO-C03-IS|en|baseline|latin#203,en,Iceland,47,30,47,1,
GEO-C04-JP|zh|baseline|hanzi#204,zh,日本,48,25,48,1,
GEO-C04-JP|en|baseline|latin#205,en,Japan,41,22,41,1,
GEO-C04-IS|zh|baseline|hanzi#206,zh,冰島,44,26,44,2,
GEO-C04-IS|en|baseline|latin#207,en,Iceland,35,22,35,1,
GEO-C05-JP|zh|baseline|hanzi#208,zh,日本,52,17,52,1,
GEO-C05-JP|en|baseline|latin#209,en,Japan,49,16,49,1,
GEO-C05-IS|zh|baseline|hanzi#210,zh,冰島,59,19,59,2,
GEO-C05-IS|en|baseline|latin#211,en,Iceland,49,15,49,1,
GEO-C06-JP|zh|baseline|hanzi#212,zh,日本,63,32,63,1,
GEO-C06-JP|en|baseline|latin#213,en,Japan,70,30,70,1,
GEO-C06-IS|zh|baseline|hanzi#214,zh,冰島,59,30,59,2,
GEO-C06-IS|en|baseline|latin#215,en,Iceland,58,21,58,1,
ECON-C01-JP|zh|baseline|hanzi#216,zh,日本,39,24,39,1,
ECON-C01-JP|en|baseline|latin#217,en,Japan,40,22,40,1,
ECON-C01-IS|zh|baseline|hanzi#218,zh,冰島,46,32,46,2,
ECON-C01-IS|en|baseline|latin#219,en,Iceland,44,28,44,1,
ECON-C02-JP|zh|baseline|hanzi#220,zh,日本,54,35,54,1,
ECON-C02-JP|en|baseline|latin#221,en,Japan,49,33,49,1,
ECON-C02-IS|zh|baseline|hanzi#222,zh,冰島,56,36,56,2,
ECON-C02-IS|en|baseline|latin#223,en,Iceland,52,35,52,1,
ECON-C03-JP|zh|baseline|hanzi#224,zh,日本,56,35,56,1,
ECON-C03-JP|en|baseline|latin#225,en,Japan,58,38,58,1,
ECON-C03-IS|zh|baseline|hanzi#226,zh,冰島,55,37,55,2,
ECON-C03-IS|en|baseline|latin#227,en,Iceland,52,33,52,1,
ECON-C04-JP|zh|baseline|hanzi#228,zh,日本,53,36,53,1,
ECON-C04-JP|en|baseline|latin#229,en,Japan,44,27,44,1,
ECON-C04-IS|zh|baseline|hanzi#230,zh,冰島,60,40,60,2,
ECON-C04-IS|en|baseline|latin#231,en,Iceland,51,29,51,1,
ECON-C05-JP|zh|baseline|hanzi#232,zh,日本,49,27,49,1,
